pdb_id1,pdb_id2,tm_score,rmsd
7niw,6xq2,0.23542,0.4395958185195923
6bli,7jwq,0.36273,2.9674477577209473
2zcl,4otx,0.9938,0.0
6v4r,7n0v,0.4013,0.195791095495224
6w4v,6bf4,0.21254,0.12440505623817444
5vgj,5u8r,0.39707,0.04543958231806755
7l6m,2o5x,0.12437,0.21254999935626984
5e8d,5ugy,0.19258,0.45985814929008484
6vca,4yr6,0.2754,2.944683313369751
1lo0,6vzi,0.18748,0.5060753226280212
7lfa,7b09,0.39312,1.423754334449768
5hdq,4yxl,0.3818,0.07266512513160706
3v52,6ks2,0.25262,3.0580389499664307
4qf1,5jw4,0.20389,0.5060571432113647
5i1a,7n8q,0.17028,0.30983784794807434
5xcx,5w3m,0.27464,0.007775683421641588
5w6d,3j5m,0.34343,1.0814573764801025
4xvu,1ncc,0.20496,0.1618724763393402
5fgb,6cw3,0.13786,0.16305114328861237
3opz,4ybq,0.40812,0.47175484895706177
1emt,1mrc,0.359,0.0
6n5e,6sv2,0.35538,0.372438907623291
5xmh,5u3n,0.36038,1.3816533088684082
5zmj,7kgu,0.26229,1.8864284753799438
7cqc,2p8p,0.17818,2.0407297611236572
1f8t,5um8,0.17634,0.047730281949043274
1cfs,6xy2,0.18458,0.0
5ik3,6xq4,0.16778,0.08227694034576416
7mem,3piq,0.35193,0.42317989468574524
5hd8,6vpy,0.25968,0.2943825423717499
5sy8,6ss2,0.62352,0.3390232026576996
6cez,2ojz,0.45201,0.32512998580932617
5esa,6xq0,0.19803,0.1121625304222107
1ncc,5wtg,0.22424,0.22130919992923737
1qfw,1p84,0.36692,0.4966587722301483
3ngb,5dhv,0.29884,0.018351085484027863
7rm0,3j3p,0.56993,0.0
6pef,5xqw,0.20152,0.7524973154067993
6iw0,4n8c,0.28911,0.12923000752925873
6dkj,6rnn,0.17225,0.016342874616384506
6uga,3vi4,0.31558,0.070838063955307
4fqq,1gpo,0.52419,0.024709701538085938
7fab,2pw1,0.20937,0.12873372435569763
6ch8,6c5i,0.24807,1.2824337482452393
1cly,4kkl,0.27444,0.15176980197429657
2exw,5xs7,0.30214,0.41578373312950134
2fed,6mnq,0.33371,0.3450521230697632
1op5,5xcv,0.56058,0.30493026971817017
5gux,1rmf,0.38554,0.057628873735666275
6vjt,6ye3,0.30295,2.5983893871307373
6dcv,6gku,0.1572,0.1306159347295761
6ii8,5trp,0.21196,0.7960507869720459
6tnp,3ifo,0.28463,0.6041555404663086
6wkm,1ott,0.26802,1.5989853143692017
2o5y,1t66,0.28321,0.3001343011856079
1fl5,6b08,0.52684,0.32536524534225464
6glx,1i3g,0.73076,0.0
7eo0,2ojz,0.29743,0.39637866616249084
4h88,3kj6,0.5776,0.16675540804862976
6wt3,1tji,0.19186,0.4913567006587982
2xzc,7kba,0.18299,1.1721059083938599
4xpb,2r0w,0.18186,1.0754597187042236
4f58,4kte,0.48329,0.5662144422531128
5esa,6x87,0.77872,0.0
1mrc,7wvm,0.18231,0.0
5u8q,6dfh,0.2142,0.2553540766239166
7rqq,4xvu,0.31553,0.06065689027309418
1aif,2r23,0.19364,1.8981150388717651
6wik,6wmw,0.29302,0.6432376503944397
4m62,6w73,0.47328,0.3628384470939636
3t77,5mv4,0.42695,0.0
6wf0,7dnh,0.32415,0.39296433329582214
6ldv,5cil,0.20194,0.33549964427948
3uji,1cly,0.44605,0.5137559771537781
7m74,4pb0,0.25351,0.5417632460594177
3j8v,6lra,0.34246,0.15181519091129303
3ggw,4yx2,0.21665,0.0
6ulc,1xiw,0.17502,0.0158992949873209
1rmf,6ot1,0.19905,0.15848176181316376
7kc1,6tkc,0.24691,0.4567950367927551
6dzl,5a16,0.25523,0.5946729779243469
3dgg,4fqh,0.23351,0.44161295890808105
2htk,6e62,0.19903,0.12229897826910019
1ngz,4n0y,0.16989,0.014545207843184471
5f6h,7mfg,0.20348,0.4490162432193756
5hbv,1dl7,0.45922,1.8500505685806274
6pv8,6xsw,0.15925,0.9251112341880798
7o9s,2v17,0.19157,0.601510226726532
1bql,6cmo,0.15042,0.008902540430426598
3liz,6uta,0.17602,1.0701649188995361
7myz,1b4j,0.45278,0.1430273950099945
6jwc,3ffd,0.29339,0.027053624391555786
5tih,6uig,0.24361,0.9887146353721619
5it2,7rxp,0.19477,2.3063433170318604
7aj6,7jkt,0.37232,0.44078314304351807
7l0l,6cuf,0.44556,0.7333699464797974
3i02,6mtn,0.34455,0.6370890736579895
5xaj,7niv,0.23061,0.26349154114723206
5wkz,3dv4,0.29634,0.20101162791252136
6bla,5ifj,0.21376,0.016616059467196465
7rdl,2r4r,0.38463,0.03643665835261345
2xtj,6bp2,0.22755,2.06638765335083
6cdi,3kj6,0.45587,0.000539948872756213
6hf1,4xmp,0.1416,0.5093109607696533
3v52,4m7l,0.43501,0.233615443110466
4yho,6u8d,0.31974,0.01847161166369915
4xph,4yr6,0.36038,0.014392027631402016
5i19,6wyt,0.22702,0.2714158296585083
4nm4,6fn4,0.28595,0.01129694189876318
4kze,4lri,0.27286,0.08009365946054459
5kg9,7jix,0.6087,0.2651536464691162
7lfb,1cic,0.75153,0.10405898094177246
6vzi,6o2a,0.52001,0.48476487398147583
1k6q,4xmp,0.1335,0.15400132536888123
2r9h,4xvj,0.17737,3.9238390922546387
5ukp,4nrx,0.44445,0.7106539011001587
6vln,6avq,0.4453,0.3192743957042694
6gc2,2xkn,0.38318,0.3413073718547821
7bu8,5szf,0.26915,0.46189096570014954
5uwe,6jfh,0.21223,0.0
6xpx,6wjl,0.18959,0.13349783420562744
4m5z,12e8,0.43119,0.7105123400688171
3qg6,5uxq,0.05172,0.0
6axk,6uvo,0.24474,0.4517899751663208
6i8s,1mlc,0.44555,0.36548134684562683
4z95,3lzf,0.53305,0.7230369448661804
1fe8,5fcu,0.17648,0.15737205743789673
6wyr,7teq,0.17809,0.1375805139541626
2jk5,6bit,0.4649,0.4594354033470154
4hkb,1n6q,0.3,2.024055004119873
2b4c,7vsw,0.20648,0.00425884872674942
5vcn,3aaz,0.20747,3.9526867866516113
7lyv,4kph,0.74615,0.004266501870006323
4m8q,1ncw,0.49109,0.3260471522808075
2jb6,5gjs,0.24695,2.042071580886841
2xza,6cnj,0.27502,1.662036418914795
2r0l,1hil,0.31251,0.0027344198897480965
6pyc,5x2n,0.27873,1.8435572385787964
3ley,5cck,0.24071,0.6175858378410339
6ztd,4f57,0.12443,0.5512219667434692
6h3u,6u6o,0.43029,0.5757673978805542
5bzw,7kqh,0.21296,0.5822775959968567
7cn2,3jau,0.23934,1.9934196472167969
5v6l,6cxc,0.2304,0.29947978258132935
3s62,3whx,0.22213,0.16558308899402618
6uul,3pho,0.47025,0.3135403096675873
5mx3,6nmt,0.33955,0.12498630583286285
5jw3,1i3g,0.44444,0.0
5d1q,5x4g,0.42433,0.0006131446571089327
7rlx,6lxj,0.20498,4.396402359008789
5ik3,1rih,0.23354,3.10418438911438
3cvi,6u02,0.25181,0.3375266492366791
5um8,1lo4,0.14778,0.03271344304084778
5xs7,5w3m,0.26659,0.0
3mug,7vsu,0.3133,0.08863617479801178
6ev2,6snh,0.15834,0.3931259512901306
7jtg,5mvz,0.56493,0.18256622552871704
4why,6d9w,0.30813,0.030926937237381935
6vl8,7l0l,0.13007,0.0
6wyr,6hjp,0.15432,0.020975667983293533
4k8r,1dl7,0.42831,0.30985769629478455
6ch8,7dnh,0.16074,0.18651019036769867
1kc5,6wm9,0.28498,0.27973946928977966
7tee,7rp0,0.27143,3.0512914657592773
7m7e,6cyf,0.20291,0.22843582928180695
4uif,3ls4,0.40673,0.0
4kzd,5gjt,0.32398,0.28646236658096313
3ifn,7vsu,0.46993,0.08216513693332672
1rur,6dc7,0.53749,0.0
6o2a,1b4j,0.42772,0.010176940821111202
3se9,4ffy,0.39913,0.10859571397304535
